编号,动作,优先级,分组,首姿态,尾姿态,建议秒数,状态,用途
99,侧坐直接朝右站起,P1,基础衔接,I,SR,2—3,待制作，未启用,蜷睡醒来21→I后可直接起身，消除18→06/08绕路。
100,侧坐直接朝左站起,P1,基础衔接,I,SL,2—3,待制作，未启用,蜷睡醒来21→I后可直接起身，消除18→06/08绕路。
101,朝右站姿直接趴卧,P1,基础衔接,SR,D,2—3,待制作，未启用,减少吃喝后到空位又坐下再趴卧。
102,朝左站姿直接趴卧,P1,基础衔接,SL,D,2—3,待制作，未启用,减少吃喝后到空位又坐下再趴卧。
103,趴卧直接朝右站起,P1,基础衔接,D,SR,2—3,待制作，未启用,趴卧醒来可直接移动。
104,趴卧直接朝左站起,P1,基础衔接,D,SL,2—3,待制作，未启用,趴卧醒来可直接移动。
105,侧躺直接朝左站起,P2,左向起身,A,SL,2—3,待制作，未启用,对应已有70/74/78右起身，减少起身后15转左。
106,露肚直接朝左站起,P2,左向起身,B,SL,2—3,待制作，未启用,对应已有70/74/78右起身，减少起身后15转左。
107,舒展直接朝左站起,P2,左向起身,X,SL,2—3,待制作，未启用,对应已有70/74/78右起身，减少起身后15转左。
108,朝右跑步起步,P0,开场跑步,SR,RR,0.6—1.0,待制作，未启用,开场快速来到中间；不加速旧走路代替。
109,朝右跑步循环,P0,开场跑步,RR,RR,0.8—1.2,待制作，未启用,真实跑步循环需测量脚底位移与世界速度，不能滑步。
110,朝右跑步停稳,P0,开场跑步,RR,SR,0.8—1.2,待制作，未启用,跑到中点后衔接踱步。
111,朝左跑步起步,P0,开场跑步,SL,RL,0.6—1.0,待制作，未启用,开场快速来到中间；不加速旧走路代替。
112,朝左跑步循环,P0,开场跑步,RL,RL,0.8—1.2,待制作，未启用,真实跑步循环需测量脚底位移与世界速度，不能滑步。
113,朝左跑步停稳,P0,开场跑步,RL,SL,0.8—1.2,待制作，未启用,跑到中点后衔接踱步。
114,朝右站姿转正面四足,P0,开场互动,SR,SF,1.0—1.8,待制作，未启用,蹭头前必须真正面向前方。
115,朝左站姿转正面四足,P0,开场互动,SL,SF,1.0—1.8,待制作，未启用,蹭头前必须真正面向前方。
116,正面站立向前蹭头,P0,开场互动,SF,SF,2—3,待制作，未启用,38是坐姿蹭手，不能替代先站着蹭头、最后才坐下的开场顺序。
117,正面站立连续叫三次,P0,开场互动,SF,SF,3—4,待制作，未启用,88从坐姿开始，不用于本开场。返片需标出三个张嘴峰值供声音同步。
118,正面四足平稳坐下,P0,开场互动,SF,F,1.2—2,待制作，未启用,开场最终坐定，随后交回正常行为树。
119,朝右站立致谢,P2,照料衔接,SR,SR,1.5—2.5,待制作，未启用,可替代站姿示意后07→51的坐姿致谢，减少不必要坐下。
120,朝左站立致谢,P2,照料衔接,SL,SL,1.5—2.5,待制作，未启用,可替代站姿示意后07→51的坐姿致谢，减少不必要坐下。
121,蜷睡转趴卧,P3,低位换姿,C,D,2—3,待制作，未启用,可选低位换姿，减少旧睡姿切新睡姿时起身。
122,趴卧卷成蜷睡,P3,低位换姿,D,C,2—3,待制作，未启用,可选低位换姿，减少旧睡姿切新睡姿时起身。
123,蜷睡放松侧躺,P3,低位换姿,C,A,2—3,待制作，未启用,可选低位换姿，减少旧睡姿切新睡姿时起身。
124,侧躺卷成蜷睡,P3,低位换姿,A,C,2—3,待制作，未启用,可选低位换姿，减少旧睡姿切新睡姿时起身。
125,趴卧被提起,P3,拖拽补齐,D,H_D,0.8—1.5,待制作，未启用,当前拖拽保留原姿态；本段用于补齐真实起提过渡。
126,趴卧对应悬空轻摆,P3,拖拽补齐,H_D,H_D,2—3,待制作，未启用,悬空循环需独立匹配本姿态起提。
127,趴卧对应放回地面,P3,拖拽补齐,H_D,D,1—2,待制作，未启用,回到原躺姿的独立落地片。
128,侧躺被提起,P3,拖拽补齐,A,H_A,0.8—1.5,待制作，未启用,当前拖拽保留原姿态；本段用于补齐真实起提过渡。
129,侧躺对应悬空轻摆,P3,拖拽补齐,H_A,H_A,2—3,待制作，未启用,悬空循环需独立匹配本姿态起提。
130,侧躺对应放回地面,P3,拖拽补齐,H_A,A,1—2,待制作，未启用,回到原躺姿的独立落地片。
131,露肚被提起,P3,拖拽补齐,B,H_B,0.8—1.5,待制作，未启用,当前拖拽保留原姿态；本段用于补齐真实起提过渡。
132,露肚对应悬空轻摆,P3,拖拽补齐,H_B,H_B,2—3,待制作，未启用,悬空循环需独立匹配本姿态起提。
133,露肚对应放回地面,P3,拖拽补齐,H_B,B,1—2,待制作，未启用,回到原躺姿的独立落地片。
134,舒展被提起,P3,拖拽补齐,X,H_X,0.8—1.5,待制作，未启用,当前拖拽保留原姿态；本段用于补齐真实起提过渡。
135,舒展对应悬空轻摆,P3,拖拽补齐,H_X,H_X,2—3,待制作，未启用,悬空循环需独立匹配本姿态起提。
136,舒展对应放回地面,P3,拖拽补齐,H_X,X,1—2,待制作，未启用,回到原躺姿的独立落地片。
137,掩面被提起,P3,拖拽补齐,M,H_M,0.8—1.5,待制作，未启用,当前拖拽保留原姿态；本段用于补齐真实起提过渡。
138,掩面对应悬空轻摆,P3,拖拽补齐,H_M,H_M,2—3,待制作，未启用,悬空循环需独立匹配本姿态起提。
139,掩面对应放回地面,P3,拖拽补齐,H_M,M,1—2,待制作，未启用,回到原躺姿的独立落地片。
