编号,动作,首帧,尾帧,类型,目标秒数,分组
52,右边抬身扶墙,SR,HR,过渡,2.4,扶墙
53,右边扶墙微动,HR,HR,循环,3.2,扶墙
54,右边落回四足,HR,SR,过渡,2.2,扶墙
55,左边抬身扶墙,SL,HL,过渡,2.4,扶墙
56,左边扶墙微动,HL,HL,循环,3.2,扶墙
57,左边落回四足,HL,SL,过渡,2.2,扶墙
58,坐姿放松趴下,F,D,过渡,2.8,平躺衔接
59,趴卧恢复坐姿,D,F,过渡,2.6,平躺衔接
60,趴卧放松侧瘫,D,A,过渡,2.4,平躺衔接
61,侧瘫翻回趴卧,A,D,过渡,2.3,平躺衔接
62,侧瘫翻成露肚,A,B,过渡,2.3,平躺衔接
63,露肚翻回侧瘫,B,A,过渡,2.2,平躺衔接
64,侧瘫舒展开四肢,A,C,过渡,2.5,平躺衔接
65,舒展收回侧瘫,C,A,过渡,2.4,平躺衔接
66,趴卧安静呼吸,D,D,循环,4.2,休息循环
67,侧瘫平躺呼吸,A,A,循环,4.8,休息循环
68,侧瘫首次点击轻抖,A,A,单次,1.2,点击
69,侧瘫二次点击回头叫,A,A,单次,2.2,点击
70,侧瘫三次点击起身,A,SR,过渡,2.6,点击
71,露肚平躺呼吸,B,B,循环,4.8,休息循环
72,露肚首次点击轻抖,B,B,单次,1.2,点击
73,露肚二次点击回头叫,B,B,单次,2.2,点击
74,露肚三次点击起身,B,SR,过渡,3.0,点击
75,舒展平躺呼吸,C,C,循环,4.8,休息循环
76,舒展首次点击轻抖,C,C,单次,1.2,点击
77,舒展二次点击回头叫,C,C,单次,2.2,点击
78,舒展三次点击起身,C,SR,过渡,2.6,点击
79,趴卧打哈欠,D,D,单次,3.4,哈欠
80,侧瘫打哈欠,A,A,单次,3.4,哈欠
81,露肚平躺打哈欠,B,B,单次,3.4,哈欠
82,舒展平躺打哈欠,C,C,单次,3.4,哈欠
83,侧瘫抬爪掩面入睡,A,M,过渡,2.4,掩面睡眠
84,掩面睡眠呼吸,M,M,循环,5.6,掩面睡眠
85,掩面醒来放爪,M,A,过渡,2.0,掩面睡眠
86,向右走路叫一声,WR,WR,单次,3.25,叫声表现
87,向左走路叫一声,WL,WL,单次,5.0,叫声表现
88,坐着叫一声,F,F,单次,1.8,叫声表现
89,趴着叫一声,D,D,单次,1.8,叫声表现
90,侧瘫叫一声,A,A,单次,1.8,叫声表现
91,露肚平躺叫一声,B,B,单次,1.8,叫声表现
92,舒展平躺叫一声,C,C,单次,1.8,叫声表现
93,朝右站立伸懒腰,SR,SR,单次,4.0,伸懒腰
94,朝左站立伸懒腰,SL,SL,单次,4.0,伸懒腰
95,趴卧伸懒腰,D,D,单次,3.6,伸懒腰
96,侧瘫伸懒腰,A,A,单次,3.6,伸懒腰
97,露肚平躺伸懒腰,B,B,单次,3.6,伸懒腰
98,舒展平躺伸懒腰,C,C,单次,3.6,伸懒腰
